"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
Broey.,CAT1759024,824296258828,FREE,,Broey.,2026-05-07,Electronic,House,1,GBRKQ2618451,FREE,,Broey.,,,03:50,Electronic,House
Broey.,CAT876933,197773361701,"Back When",,Broey.,2023-09-01,Electronic,Bass,1,QZTRX2379154,"Back When",,Broey.,,,02:54,Electronic,Bass
Broey.,CAT876424,197773344582,Contrast,,Broey.,2023-08-04,Dance,"Drum & Bass",1,QZTRX2377079,Falling,,Broey.,,,02:50,Dance,Jungle
Broey.,CAT876424,197773344582,Contrast,,Broey.,2023-08-04,Dance,"Drum & Bass",2,QZTRX2377099,Falling,"Almost Anyone Remix",Broey.,,"Almost Anyone",06:36,Dance,"Electro House"
Broey.,CAT876424,197773344582,Contrast,,Broey.,2023-08-04,Dance,"Drum & Bass",3,QZTRX2377116,Origins,"Almost Anyone Remix",Broey.,,"Almost Anyone",05:05,Electronic,Electronica
Broey.,CAT876403,197773344445,PROPPA,,Broey.,2023-07-14,Dance,Jungle,1,QZTRX2377004,PROPPA,,Broey.,,,02:27,Electronic,"Drum & Bass"
Broey.,CAT829295,197368866475,"Hold On",,Broey.,2023-05-08,Electronic,"Drum & Bass",1,GBRKQ2380565,"Hold On",,Broey.,,,03:35,Electronic,"Drum & Bass"
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,1,DEQ022110664,Rebirth,"The Tower","Linearwave,broeybeats.",,,02:27,"Easy Listening",Lounge
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,8,DEQ022110670,Cure,Temperance,"Linearwave,broeybeats.",,,02:40,"Easy Listening",Lounge
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,7,DEQ022110669,Celebration,"Four of Wands","Linearwave,broeybeats.",,,01:37,"Easy Listening",Lounge
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,6,DEQ022110668,Prosperity,"The Empress","Linearwave,broeybeats.",,,03:13,"Easy Listening",Lounge
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,4,DEQ022110667,Guidance,"The Star","Linearwave,Myrthe van de Weetering,broeybeats.",,,03:19,"Easy Listening",Lounge
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,3,DEQ022110666,"Finding a Path","The Magician","Linearwave,broeybeats.",,,03:02,"Easy Listening",Lounge
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,2,DEQ022110665,"Believe in Yourself","The Sun","Linearwave,Myrthe van de Weetering,broeybeats.",,,02:28,"Easy Listening",Lounge
Broey.,CAT4018939488185,4018939488185,Tarot's,,Linearwave,2021-04-30,"Easy Listening",Lounge,5,DEQ022110655,"Without Looking Back","The Fool","Linearwave,Myrthe van de Weetering,broeybeats.",,,01:53,"Easy Listening",Lounge
Broey.,CAT4018939488208,4018939488208,"Finding a Path","The Magician",Linearwave,2021-04-23,"Easy Listening",Lounge,1,DEQ022110666,"Finding a Path","The Magician","broeybeats.,Linearwave",,,03:02,"Easy Listening",Lounge
Broey.,CAT4018939488192,4018939488192,"Believe in Yourself","The Sun",Linearwave,2021-04-16,"Easy Listening",Lounge,1,DEQ022110665,"Believe in Yourself","The Sun","broeybeats.,Linearwave,Myrthe van de Weetering",,,02:28,"Easy Listening",Lounge
Broey.,CAT4018939488093,4018939488093,"Without Looking Back","The Fool",Linearwave,2021-04-09,"Easy Listening",Lounge,1,DEQ022110655,"Without Looking Back","The Fool","broeybeats.,Linearwave,Myrthe van de Weetering",,,01:53,"Easy Listening",Lounge
Broey.,CAT4018939441814,4018939441814,Reflections,,broeybeats.,2021-02-26,"Hip Hop/Rap","Hip Hop/Rap",1,DEQ022106228,Reflections,,broeybeats.,,,02:50,"Hip Hop/Rap","Hip Hop/Rap"
Broey.,CAT4018939417130,4018939417130,"Silvers and Golds",,broeybeats.,2021-01-25,Holiday,Christmas,1,DEQ022110039,"Silvers and Golds",,broeybeats.,,,02:29,Holiday,Christmas
Broey.,CAT024543143901,024543143901,"After You",,Broey.,2020-11-30,"Easy Listening","Easy Listening",1,USANG2110038,"After You",,"Broey.,Mr. Hilroy",,,02:57,"Easy Listening","Easy Listening"
Broey.,CAT4018939408138,4018939408138,"While the Leaves Blow",,Linearwave,2020-10-29,"Easy Listening",Lounge,1,DEQ022004892,"While the Leaves Blow",,"broeybeats.,Linearwave",,,02:24,"Easy Listening",Lounge
Broey.,CAT4018939423377,4018939423377,Apparitions,,Remulak,2020-09-30,"Easy Listening","Easy Listening",1,DEQ022011021,Apparitions,,"Remulak,broeybeats.",,,02:31,"Easy Listening","Easy Listening"
Broey.,CAT4018939428174,4018939428174,"Closure / Closer",,broeybeats.,2020-08-02,"Easy Listening","Easy Listening",1,DEQ022005568,Closure,,broeybeats.,,,03:46,"Easy Listening",Lounge
Broey.,CAT4018939428174,4018939428174,"Closure / Closer",,broeybeats.,2020-08-02,"Easy Listening","Easy Listening",2,DEQ022005569,Closer,,broeybeats.,,,02:03,"Easy Listening",Lounge
Broey.,CAT4018939435288,4018939435288,"Glass Houses",,Remulak,2020-07-10,"Easy Listening",Lounge,1,DEQ022005401,"Glass Houses",,"Remulak,broeybeats.",,,02:56,"Easy Listening",Lounge
Broey.,CAT018736737275,018736737275,12:34,,broeybeats.,2020-04-23,Instrumental,Instrumental,1,USANG2044386,12:34,,broeybeats.,,,02:05,Instrumental,Instrumental
Broey.,CAT018736967634,018736967634,"As Anticipated / The Time has Come",,Broey.,2019-12-27,Electronic,Electronic,1,USANG1924885,"As Anticipated",,"Broey.,Aviary Day",,,,"Easy Listening","Easy Listening"
Broey.,CAT018736967634,018736967634,"As Anticipated / The Time has Come",,Broey.,2019-12-27,Electronic,Electronic,2,USANG1924886,"The Time has Come",,"Broey.,Aviary Day",,,,Electronic,Electronic
Broey.,CAT018736021428,018736021428,Daybreak,,broeybeats.,2019-12-19,Holiday,Christmas,1,USANG1925527,Daybreak,,broeybeats.,,,02:28,Holiday,Christmas
Broey.,CAT018736302992,018736302992,"Feels so Good",,broeybeats.,2019-09-13,"Easy Listening",Lounge,1,US3DF1996349,"Feels so Good",,broeybeats.,,,03:29,"Easy Listening",Lounge
Broey.,CAT194271698971,194271698971,Paradise,,Broey.,2019-03-23,"Hip Hop/Rap","Hip Hop/Rap",1,QZES51970012,Paradise,,"Broey.,broeybeats.",,,02:22,"Hip Hop/Rap","Hip Hop/Rap"
